Year,Season,Area,Production,Crop_yield,crop_type,district
2019 - 2020,Rabi,20,21,1.05,Linseed,Umaria
2020 - 2021,Rabi,10,11,1.1,Linseed,Vidisha
2021 - 2022,Rabi,12,13,1.08,Linseed,Vidisha
2022 - 2023,Rabi,89,93,1.04,Linseed,Vidisha
2018 - 2019,Rabi,11082,4411,0.4,Masoor,Agar malwa
2019 - 2020,Rabi,7826,2376,0.3,Masoor,Agar malwa
2020 - 2021,Rabi,16400,19516,1.19,Masoor,Agar malwa
2021 - 2022,Rabi,5667,3174,0.56,Masoor,Agar malwa
2022 - 2023,Rabi,14360,8042,0.56,Masoor,Agar malwa
2018 - 2019,Rabi,11731,5701,0.49,Masoor,Agar malwa
2019 - 2020,Rabi,17901,8972,0.5,Masoor,Agar malwa
2020 - 2021,Rabi,20713,14913,0.72,Masoor,Anuppur
2021 - 2022,Rabi,17729,12286,0.69,Masoor,Anuppur
2022 - 2023,Rabi,20800,14414,0.69,Masoor,Anuppur
2018 - 2019,Rabi,10930,10526,0.96,Masoor,Anuppur
2019 - 2020,Rabi,8548,9084,1.06,Masoor,Anuppur
2020 - 2021,Rabi,15480,17028,1.1,Masoor,Ashoknagar
2021 - 2022,Rabi,19385,24638,1.27,Masoor,Ashoknagar
2022 - 2023,Rabi,32580,40888,1.26,Masoor,Ashoknagar
2020 - 2021,Rabi,540,232,0.43,Masoor,Balaghat
2021 - 2022,Rabi,696,367,0.53,Masoor,Balaghat
2022 - 2023,Rabi,400,211,0.53,Masoor,Balaghat
2018 - 2019,Rabi,571,261,0.46,Masoor,Balaghat
2019 - 2020,Rabi,492,197,0.4,Masoor,Balaghat
2020 - 2021,Rabi,440,297,0.68,Masoor,Betul
2021 - 2022,Rabi,224,159,0.71,Masoor,Betul
2022 - 2023,Rabi,1100,781,0.71,Masoor,Betul
2018 - 2019,Rabi,243,158,0.65,Masoor,Betul
2019 - 2020,Rabi,61,30,0.49,Masoor,Betul
2020 - 2021,Rabi,100,129,1.29,Masoor,Bhind
2021 - 2022,Rabi,100,150,1.5,Masoor,Bhind
2022 - 2023,Rabi,600,894,1.49,Masoor,Bhind
2018 - 2019,Rabi,369,302,0.82,Masoor,Bhind
2019 - 2020,Rabi,149,147,0.99,Masoor,Bhind
2020 - 2021,Rabi,295,398,1.35,Masoor,Bhopal
2021 - 2022,Rabi,135,170,1.26,Masoor,Bhopal
2022 - 2023,Rabi,300,377,1.26,Masoor,Bhopal
2018 - 2019,Rabi,1,1,1,Masoor,Bhopal
2020 - 2021,Rabi,1,1,1,Masoor,Burhanpur
2018 - 2019,Rabi,4241,2757,0.65,Masoor,Burhanpur
2019 - 2020,Rabi,2674,1466,0.55,Masoor,Burhanpur
2020 - 2021,Rabi,3744,4309,1.15,Masoor,Chhatarpur
2021 - 2022,Rabi,5711,6625,1.16,Masoor,Chhatarpur
2022 - 2023,Rabi,3660,4246,1.16,Masoor,Chhatarpur
2018 - 2019,Rabi,1951,987,0.51,Masoor,Chhatarpur
2019 - 2020,Rabi,1861,1334,0.72,Masoor,Chhatarpur
2020 - 2021,Rabi,1512,1557,1.03,Masoor,Chhindwara
2021 - 2022,Rabi,1224,1362,1.11,Masoor,Chhindwara
2022 - 2023,Rabi,2600,2894,1.11,Masoor,Chhindwara
2018 - 2019,Rabi,16752,12732,0.76,Masoor,Chhindwara
2019 - 2020,Rabi,22922,17012,0.74,Masoor,Chhindwara
2020 - 2021,Rabi,29511,37480,1.27,Masoor,Damoh
2021 - 2022,Rabi,41969,62954,1.5,Masoor,Damoh
2022 - 2023,Rabi,45500,66885,1.47,Masoor,Damoh
2020 - 2021,Rabi,212,223,1.05,Masoor,Datia
2021 - 2022,Rabi,455,370,0.81,Masoor,Datia
2022 - 2023,Rabi,800,491,0.61,Masoor,Datia
2018 - 2019,Rabi,182,103,0.57,Masoor,Datia
2019 - 2020,Rabi,107,69,0.64,Masoor,Datia
2020 - 2021,Rabi,372,335,0.9,Masoor,Dewas
2021 - 2022,Rabi,322,370,1.15,Masoor,Dewas
2022 - 2023,Rabi,400,460,1.15,Masoor,Dewas
2018 - 2019,Rabi,1147,720,0.63,Masoor,Dewas
2019 - 2020,Rabi,306,147,0.48,Masoor,Dewas
2020 - 2021,Rabi,342,308,0.9,Masoor,Dhar
2021 - 2022,Rabi,173,162,0.94,Masoor,Dhar
2022 - 2023,Rabi,970,907,0.94,Masoor,Dhar
2018 - 2019,Rabi,27413,16749,0.61,Masoor,Dhar
2019 - 2020,Rabi,42112,33487,0.8,Masoor,Dhar
2020 - 2021,Rabi,42371,49151,1.16,Masoor,Dindori
2021 - 2022,Rabi,35519,44576,1.25,Masoor,Dindori
2022 - 2023,Rabi,39400,49447,1.26,Masoor,Dindori
2018 - 2019,Rabi,380,365,0.96,Masoor,Dindori
2019 - 2020,Rabi,524,564,1.08,Masoor,Dindori
2020 - 2021,Rabi,2077,2616,1.26,Masoor,Guna
2021 - 2022,Rabi,3906,5000,1.28,Masoor,Guna
2022 - 2023,Rabi,16160,20200,1.25,Masoor,Guna
2018 - 2019,Rabi,36,19,0.53,Masoor,Guna
2019 - 2020,Rabi,12,7,0.58,Masoor,Guna
2020 - 2021,Rabi,25,28,1.12,Masoor,Gwalior
2021 - 2022,Rabi,28,37,1.32,Masoor,Gwalior
2022 - 2023,Rabi,80,106,1.33,Masoor,Gwalior
2018 - 2019,Rabi,18,6,0.33,Masoor,Gwalior
2019 - 2020,Rabi,13,6,0.46,Masoor,Gwalior
2020 - 2021,Rabi,14,11,0.79,Masoor,Harda
2021 - 2022,Rabi,2,1,0.5,Masoor,Harda
2022 - 2023,Rabi,200,80,0.4,Masoor,Harda
2018 - 2019,Rabi,226,136,0.6,Masoor,Harda
2019 - 2020,Rabi,33,22,0.67,Masoor,Harda
2020 - 2021,Rabi,56,84,1.5,Masoor,Hoshangabad
2021 - 2022,Rabi,59,94,1.59,Masoor,Hoshangabad
2022 - 2023,Rabi,770,1109,1.44,Masoor,Hoshangabad
2020 - 2021,Rabi,135,146,1.08,Masoor,Indore
2021 - 2022,Rabi,63,69,1.1,Masoor,Indore
2022 - 2023,Rabi,140,154,1.1,Masoor,Indore
2018 - 2019,Rabi,6810,6647,0.98,Masoor,Indore
2019 - 2020,Rabi,5075,4892,0.96,Masoor,Indore
2020 - 2021,Rabi,5401,6805,1.26,Masoor,Jabalpur
2021 - 2022,Rabi,4882,9974,2.04,Masoor,Jabalpur
2022 - 2023,Rabi,4600,7558,1.64,Masoor,Jabalpur
2020 - 2021,Rabi,15,17,1.13,Masoor,Jhabua
2018 - 2019,Rabi,4661,4055,0.87,Masoor,Jhabua
2019 - 2020,Rabi,2382,2127,0.89,Masoor,Jhabua
2020 - 2021,Rabi,1920,1580,0.82,Masoor,Katni
2021 - 2022,Rabi,1350,1523,1.13,Masoor,Katni
2022 - 2023,Rabi,4200,4738,1.13,Masoor,Katni
2018 - 2019,Rabi,70,32,0.46,Masoor,Katni
2019 - 2020,Rabi,42,14,0.33,Masoor,Katni
2020 - 2021,Rabi,35,19,0.54,Masoor,Khandwa
2021 - 2022,Rabi,8,4,0.5,Masoor,Khandwa
2020 - 2021,Rabi,5,4,0.8,Masoor,Khargone
2018 - 2019,Rabi,12890,8379,0.65,Masoor,Khargone
2019 - 2020,Rabi,23768,15449,0.65,Masoor,Khargone
2020 - 2021,Rabi,26779,27314,1.02,Masoor,Mandla
2021 - 2022,Rabi,19126,19968,1.04,Masoor,Mandla
2022 - 2023,Rabi,29500,30385,1.03,Masoor,Mandla
2018 - 2019,Rabi,5173,2757,0.53,Masoor,Mandla
2019 - 2020,Rabi,5261,3214,0.61,Masoor,Mandla
2020 - 2021,Rabi,15438,16055,1.04,Masoor,Mandsaur
2021 - 2022,Rabi,4686,3374,0.72,Masoor,Mandsaur
2022 - 2023,Rabi,8930,6430,0.72,Masoor,Mandsaur
2018 - 2019,Rabi,16,10,0.63,Masoor,Mandsaur
2019 - 2020,Rabi,38,32,0.84,Masoor,Mandsaur
2020 - 2021,Rabi,5,5,1,Masoor,Morena
2022 - 2023,Rabi,200,122,0.61,Masoor,Morena
2018 - 2019,Rabi,19752,13392,0.68,Masoor,Morena
2019 - 2020,Rabi,18956,14596,0.77,Masoor,Morena
2020 - 2021,Rabi,19497,17742,0.91,Masoor,Narsinghpur
2021 - 2022,Rabi,25834,32525,1.26,Masoor,Narsinghpur
2022 - 2023,Rabi,31200,39000,1.25,Masoor,Narsinghpur
2020 - 2021,Rabi,2747,3077,1.12,Masoor,Neemuch
2021 - 2022,Rabi,923,1246,1.35,Masoor,Neemuch
2022 - 2023,Rabi,2050,2768,1.35,Masoor,Neemuch
2019 - 2020,Rabi,25,17,0.68,Masoor,Neemuch
2020 - 2021,Rabi,144,136,0.94,Masoor,Neemuch
2021 - 2022,Rabi,480,454,0.95,Masoor,Niwari
2022 - 2023,Rabi,400,378,0.95,Masoor,Niwari
2018 - 2019,Rabi,16954,23024,1.36,Masoor,Niwari
2019 - 2020,Rabi,12715,13213,1.04,Masoor,Niwari
2020 - 2021,Rabi,12583,12683,1.01,Masoor,Panna
2021 - 2022,Rabi,18555,20744,1.12,Masoor,Panna
2022 - 2023,Rabi,18250,20404,1.12,Masoor,Panna
2018 - 2019,Rabi,25731,22798,0.89,Masoor,Panna
2019 - 2020,Rabi,23675,20965,0.89,Masoor,Panna
2020 - 2021,Rabi,31207,40257,1.29,Masoor,Raisen
2021 - 2022,Rabi,28391,37590,1.32,Masoor,Raisen
2022 - 2023,Rabi,31520,41291,1.31,Masoor,Raisen
2018 - 2019,Rabi,47253,37708,0.8,Masoor,Raisen
2019 - 2020,Rabi,30729,31036,1.01,Masoor,Raisen
2020 - 2021,Rabi,57608,81804,1.42,Masoor,Rajgarh
2021 - 2022,Rabi,32439,38927,1.2,Masoor,Rajgarh
2022 - 2023,Rabi,43470,50425,1.16,Masoor,Rajgarh
2018 - 2019,Rabi,1471,993,0.68,Masoor,Rajgarh
2019 - 2020,Rabi,1180,614,0.52,Masoor,Rajgarh
2020 - 2021,Rabi,2818,2282,0.81,Masoor,Ratlam
2021 - 2022,Rabi,1343,2082,1.55,Masoor,Ratlam
2022 - 2023,Rabi,3120,4836,1.55,Masoor,Ratlam
2018 - 2019,Rabi,16296,9419,0.58,Masoor,Ratlam
2019 - 2020,Rabi,9934,8617,0.87,Masoor,Ratlam
2020 - 2021,Rabi,5752,3503,0.61,Masoor,Rewa
2021 - 2022,Rabi,4690,6238,1.33,Masoor,Rewa
2022 - 2023,Rabi,18350,24406,1.33,Masoor,Rewa
2018 - 2019,Rabi,59460,74801,1.26,Masoor,Rewa
2019 - 2020,Rabi,51091,50876,1,Masoor,Rewa
2020 - 2021,Rabi,79973,86371,1.08,Masoor,Sagar
2021 - 2022,Rabi,83848,79069,0.94,Masoor,Sagar
2022 - 2023,Rabi,85500,80627,0.94,Masoor,Sagar
2020 - 2021,Rabi,4897,5533,1.13,Masoor,Satna
2021 - 2022,Rabi,5842,7992,1.37,Masoor,Satna
2022 - 2023,Rabi,8000,10640,1.33,Masoor,Satna
2018 - 2019,Rabi,4750,3943,0.83,Masoor,Satna
2019 - 2020,Rabi,3216,2959,0.92,Masoor,Satna
2020 - 2021,Rabi,6563,7482,1.14,Masoor,Sehore
2021 - 2022,Rabi,4244,2703,0.64,Masoor,Sehore
2022 - 2023,Rabi,4500,2867,0.64,Masoor,Sehore
2018 - 2019,Rabi,14003,7282,0.52,Masoor,Sehore
2019 - 2020,Rabi,12494,8671,0.69,Masoor,Sehore
2020 - 2021,Rabi,11375,9214,0.81,Masoor,Seoni
2021 - 2022,Rabi,9701,7858,0.81,Masoor,Seoni
2022 - 2023,Rabi,15000,12150,0.81,Masoor,Seoni
2018 - 2019,Rabi,423,273,0.65,Masoor,Seoni
2019 - 2020,Rabi,260,195,0.75,Masoor,Seoni
2020 - 2021,Rabi,399,347,0.87,Masoor,Shahdol
2021 - 2022,Rabi,250,223,0.89,Masoor,Shahdol
2022 - 2023,Rabi,850,757,0.89,Masoor,Shahdol
2018 - 2019,Rabi,24236,11391,0.47,Masoor,Shahdol
2019 - 2020,Rabi,17018,8747,0.51,Masoor,Shahdol
2020 - 2021,Rabi,31602,35394,1.12,Masoor,Shajapur
2021 - 2022,Rabi,18342,27513,1.5,Masoor,Shajapur
2022 - 2023,Rabi,31900,45298,1.42,Masoor,Shajapur
2018 - 2019,Rabi,14,21,1.5,Masoor,Shajapur
2019 - 2020,Rabi,5,7,1.4,Masoor,Shajapur
2020 - 2021,Rabi,2,2,1,Masoor,Sheopur
2021 - 2022,Rabi,1,1,1,Masoor,Sheopur
2022 - 2023,Rabi,80,113,1.41,Masoor,Sheopur
2018 - 2019,Rabi,10001,4140,0.41,Masoor,Sheopur
2019 - 2020,Rabi,13479,6699,0.5,Masoor,Sheopur
2020 - 2021,Rabi,25007,30009,1.2,Masoor,Shivpuri
2021 - 2022,Rabi,31344,36077,1.15,Masoor,Shivpuri
2022 - 2023,Rabi,32420,36959,1.14,Masoor,Shivpuri
2018 - 2019,Rabi,4167,3146,0.75,Masoor,Shivpuri
2019 - 2020,Rabi,2273,1715,0.75,Masoor,Shivpuri
2020 - 2021,Rabi,2062,2639,1.28,Masoor,Sidhi
2021 - 2022,Rabi,894,745,0.83,Masoor,Sidhi
2022 - 2023,Rabi,2700,2249,0.83,Masoor,Sidhi
2020 - 2021,Rabi,818,997,1.22,Masoor,Singrauli
2021 - 2022,Rabi,718,856,1.19,Masoor,Singrauli
2022 - 2023,Rabi,8100,9655,1.19,Masoor,Singrauli
2018 - 2019,Rabi,1393,786,0.56,Masoor,Singrauli
2019 - 2020,Rabi,471,314,0.67,Masoor,Singrauli
2020 - 2021,Rabi,1457,1355,0.93,Masoor,Tikamgarh
2021 - 2022,Rabi,1750,1684,0.96,Masoor,Tikamgarh
2022 - 2023,Rabi,1500,1443,0.96,Masoor,Tikamgarh
2018 - 2019,Rabi,1989,636,0.32,Masoor,Tikamgarh
2019 - 2020,Rabi,740,421,0.57,Masoor,Tikamgarh
2020 - 2021,Rabi,1658,1575,0.95,Masoor,Ujjain
2021 - 2022,Rabi,1092,1256,1.15,Masoor,Ujjain
2022 - 2023,Rabi,1920,2208,1.15,Masoor,Ujjain
2018 - 2019,Rabi,3118,2354,0.75,Masoor,Ujjain
2019 - 2020,Rabi,2524,1733,0.69,Masoor,Ujjain
2020 - 2021,Rabi,2450,2817,1.15,Masoor,Umaria
2021 - 2022,Rabi,1728,1407,0.81,Masoor,Umaria
2022 - 2023,Rabi,5250,4274,0.81,Masoor,Umaria
2018 - 2019,Rabi,35777,26904,0.75,Masoor,Umaria
2019 - 2020,Rabi,26541,16628,0.63,Masoor,Umaria
2020 - 2021,Rabi,57991,70169,1.21,Masoor,Vidisha
2021 - 2022,Rabi,56506,76283,1.35,Masoor,Vidisha
2022 - 2023,Rabi,80700,98454,1.22,Masoor,Vidisha
2018 - 2019,Rabi,536,135,0.25,Other Rabi pulses,Anuppur
2019 - 2020,Rabi,615,363,0.59,Other Rabi pulses,Anuppur
2018 - 2019,Rabi,1454,1361,0.94,Other Rabi pulses,Anuppur
2019 - 2020,Rabi,728,718,0.99,Other Rabi pulses,Ashoknagar
2018 - 2019,Rabi,4977,4443,0.89,Other Rabi pulses,Ashoknagar
2019 - 2020,Rabi,4324,2653,0.61,Other Rabi pulses,Balaghat
2018 - 2019,Rabi,54,32,0.59,Other Rabi pulses,Betul
2019 - 2020,Rabi,20,16,0.8,Other Rabi pulses,Bhopal
2018 - 2019,Rabi,1,1,1,Other Rabi pulses,Chhatarpur
2018 - 2019,Rabi,2,1,0.5,Other Rabi pulses,Chhatarpur
2019 - 2020,Rabi,1,1,1,Other Rabi pulses,Chhindwara
2018 - 2019,Rabi,3,2,0.67,Other Rabi pulses,Chhindwara
2019 - 2020,Rabi,8,6,0.75,Other Rabi pulses,Damoh
2019 - 2020,Rabi,15,8,0.53,Other Rabi pulses,Dindori
2018 - 2019,Rabi,1,1,1,Other Rabi pulses,Dindori
2019 - 2020,Rabi,13,11,0.85,Other Rabi pulses,Guna
2018 - 2019,Rabi,4,4,1,Other Rabi pulses,Guna
2019 - 2020,Rabi,4,4,1,Other Rabi pulses,Hoshangabad
2019 - 2020,Rabi,1,1,1,Other Rabi pulses,Katni
2018 - 2019,Rabi,494,323,0.65,Other Rabi pulses,Katni
2019 - 2020,Rabi,828,604,0.73,Other Rabi pulses,Mandla
2019 - 2020,Rabi,1,1,1,Other Rabi pulses,Mandsaur
2018 - 2019,Rabi,23,22,0.96,Other Rabi pulses,Mandsaur
2019 - 2020,Rabi,25,24,0.96,Other Rabi pulses,Narsinghpur
2018 - 2019,Rabi,2201,1958,0.89,Other Rabi pulses,Narsinghpur
2019 - 2020,Rabi,1251,1067,0.85,Other Rabi pulses,Raisen
2018 - 2019,Rabi,156,94,0.6,Other Rabi pulses,Raisen
2019 - 2020,Rabi,114,71,0.62,Other Rabi pulses,Rewa
2018 - 2019,Rabi,2927,3131,1.07,Other Rabi pulses,Rewa
2019 - 2020,Rabi,942,834,0.89,Other Rabi pulses,Sagar
2018 - 2019,Rabi,2,1,0.5,Other Rabi pulses,Satna
2018 - 2019,Rabi,11,9,0.82,Other Rabi pulses,Satna
2019 - 2020,Rabi,7,7,1,Other Rabi pulses,Sehore
2018 - 2019,Rabi,3372,1701,0.5,Other Rabi pulses,Sehore
2019 - 2020,Rabi,2755,2060,0.75,Other Rabi pulses,Seoni
2018 - 2019,Rabi,13,7,0.54,Other Rabi pulses,Seoni
2019 - 2020,Rabi,24,14,0.58,Other Rabi pulses,Shahdol
2018 - 2019,Rabi,252,110,0.44,Other Rabi pulses,Shahdol
2019 - 2020,Rabi,88,44,0.5,Other Rabi pulses,Sidhi
2018 - 2019,Rabi,1,1,1,Other Rabi pulses,Singrauli
2018 - 2019,Rabi,5074,3246,0.64,Other Rabi pulses,Singrauli
2019 - 2020,Rabi,1592,1105,0.69,Other Rabi pulses,Vidisha
2020 - 2021,Rabi,34,39,1.15,Peas & beans (Pulses),Agar malwa
