Year,Season,Area,Production,Crop_yield,crop_type,district
2020 - 2021,Rabi,150010,364524,2.43,Wheat,Panna
2021 - 2022,Rabi,137911,388909,2.82,Wheat,Panna
2022 - 2023,Rabi,137478,387688,2.82,Wheat,Panna
2018 - 2019,Rabi,232380,741781,3.19,Wheat,Panna
2019 - 2020,Rabi,286929,1168662,4.07,Wheat,Panna
2020 - 2021,Rabi,279981,968454,3.46,Wheat,Raisen
2021 - 2022,Rabi,285040,954599,3.35,Wheat,Raisen
2022 - 2023,Rabi,288918,967586,3.35,Wheat,Raisen
2018 - 2019,Rabi,229108,807116,3.52,Wheat,Raisen
2019 - 2020,Rabi,336555,962884,2.86,Wheat,Raisen
2020 - 2021,Rabi,315181,1020556,3.24,Wheat,Rajgarh
2021 - 2022,Rabi,335541,1132786,3.38,Wheat,Rajgarh
2022 - 2023,Rabi,360618,1217446,3.38,Wheat,Rajgarh
2018 - 2019,Rabi,153934,468977,3.05,Wheat,Rajgarh
2019 - 2020,Rabi,227752,824462,3.62,Wheat,Rajgarh
2020 - 2021,Rabi,214917,1076734,5.01,Wheat,Ratlam
2021 - 2022,Rabi,223781,1070792,4.78,Wheat,Ratlam
2022 - 2023,Rabi,246133,1153133,4.68,Wheat,Ratlam
2018 - 2019,Rabi,261238,785462,3.01,Wheat,Ratlam
2019 - 2020,Rabi,334362,1049562,3.14,Wheat,Ratlam
2020 - 2021,Rabi,343212,887203,2.58,Wheat,Rewa
2021 - 2022,Rabi,353260,1010324,2.86,Wheat,Rewa
2022 - 2023,Rabi,346656,991436,2.86,Wheat,Rewa
2018 - 2019,Rabi,301969,755948,2.5,Wheat,Rewa
2019 - 2020,Rabi,360758,1200242,3.33,Wheat,Rewa
2020 - 2021,Rabi,347618,992449,2.85,Wheat,Sagar
2021 - 2022,Rabi,342766,947748,2.77,Wheat,Sagar
2022 - 2023,Rabi,354243,979482,2.77,Wheat,Sagar
2020 - 2021,Rabi,320734,853473,2.66,Wheat,Satna
2021 - 2022,Rabi,319360,365466,1.14,Wheat,Satna
2022 - 2023,Rabi,325752,882788,2.71,Wheat,Satna
2018 - 2019,Rabi,273649,845434,3.09,Wheat,Satna
2019 - 2020,Rabi,338431,1226812,3.62,Wheat,Satna
2020 - 2021,Rabi,333486,1099837,3.3,Wheat,Sehore
2021 - 2022,Rabi,334767,1150929,3.44,Wheat,Sehore
2022 - 2023,Rabi,342604,1177873,3.44,Wheat,Sehore
2018 - 2019,Rabi,203008,627616,3.09,Wheat,Sehore
2019 - 2020,Rabi,260669,1125829,4.32,Wheat,Sehore
2020 - 2021,Rabi,275705,1205107,4.37,Wheat,Seoni
2021 - 2022,Rabi,259843,1099656,4.23,Wheat,Seoni
2022 - 2023,Rabi,269794,1114789,4.13,Wheat,Seoni
2018 - 2019,Rabi,46403,112460,2.42,Wheat,Seoni
2019 - 2020,Rabi,64772,160829,2.48,Wheat,Seoni
2020 - 2021,Rabi,74224,139467,1.88,Wheat,Shahdol
2021 - 2022,Rabi,69279,144724,2.09,Wheat,Shahdol
2022 - 2023,Rabi,74491,155612,2.09,Wheat,Shahdol
2018 - 2019,Rabi,119407,336653,2.82,Wheat,Shahdol
2019 - 2020,Rabi,203701,1097745,5.39,Wheat,Shahdol
2020 - 2021,Rabi,196447,637274,3.24,Wheat,Shajapur
2021 - 2022,Rabi,216701,711429,3.28,Wheat,Shajapur
2022 - 2023,Rabi,232890,764578,3.28,Wheat,Shajapur
2018 - 2019,Rabi,109134,471747,4.32,Wheat,Shajapur
2019 - 2020,Rabi,120508,541804,4.5,Wheat,Shajapur
2020 - 2021,Rabi,96446,527367,5.47,Wheat,Sheopur
2021 - 2022,Rabi,87814,440475,5.02,Wheat,Sheopur
2022 - 2023,Rabi,96311,421361,4.38,Wheat,Sheopur
2018 - 2019,Rabi,287013,889371,3.1,Wheat,Sheopur
2019 - 2020,Rabi,311478,850958,2.73,Wheat,Sheopur
2020 - 2021,Rabi,277065,819004,2.96,Wheat,Shivpuri
2021 - 2022,Rabi,262403,868554,3.31,Wheat,Shivpuri
2022 - 2023,Rabi,251726,833213,3.31,Wheat,Shivpuri
2018 - 2019,Rabi,95999,290401,3.03,Wheat,Shivpuri
2019 - 2020,Rabi,118696,281784,2.37,Wheat,Shivpuri
2020 - 2021,Rabi,119467,278358,2.33,Wheat,Sidhi
2021 - 2022,Rabi,122149,308671,2.53,Wheat,Sidhi
2022 - 2023,Rabi,125388,316855,2.53,Wheat,Sidhi
2020 - 2021,Rabi,86908,486598,5.6,Wheat,Singrauli
2021 - 2022,Rabi,92730,376113,4.06,Wheat,Singrauli
2022 - 2023,Rabi,86188,349579,4.06,Wheat,Singrauli
2018 - 2019,Rabi,269967,763774,2.83,Wheat,Singrauli
2019 - 2020,Rabi,213491,654563,3.07,Wheat,Singrauli
2020 - 2021,Rabi,205836,592190,2.88,Wheat,Tikamgarh
2021 - 2022,Rabi,192366,577098,3,Wheat,Tikamgarh
2022 - 2023,Rabi,209544,628632,3,Wheat,Tikamgarh
2018 - 2019,Rabi,220044,583277,2.65,Wheat,Tikamgarh
2019 - 2020,Rabi,408353,1765718,4.32,Wheat,Tikamgarh
2020 - 2021,Rabi,409404,1393202,3.4,Wheat,Ujjain
2021 - 2022,Rabi,412568,1480706,3.59,Wheat,Ujjain
2022 - 2023,Rabi,452752,1624927,3.59,Wheat,Ujjain
2018 - 2019,Rabi,56053,125534,2.24,Wheat,Ujjain
2019 - 2020,Rabi,75311,148212,1.97,Wheat,Ujjain
2020 - 2021,Rabi,74548,138957,1.86,Wheat,Umaria
2021 - 2022,Rabi,70583,146319,2.07,Wheat,Umaria
2022 - 2023,Rabi,77562,168542,2.17,Wheat,Umaria
2018 - 2019,Rabi,280644,732061,2.61,Wheat,Umaria
2019 - 2020,Rabi,383599,1120493,2.92,Wheat,Umaria
2020 - 2021,Rabi,355461,1089843,3.07,Wheat,Vidisha
2021 - 2022,Rabi,374697,1277716,3.41,Wheat,Vidisha
2022 - 2023,Rabi,326580,1113638,3.41,Wheat,Vidisha
