Year,Season,Area,Production,Crop_yield,crop_type,district,year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,NDVI,EVI,NDWI
2022,Rabi,87626,283207,3.23,Safflower,Jhabua,2022.0,28.122166666666672,19.96791666666668,13.39075,32.010000000000005,15.567083333333333,0.2590794254316516,0.6647192190486517,0.0118731286818749
2020,Rabi,195189,707365,3.62,Safflower,Katni,2020.0,24.082975206611565,16.482479338842978,10.5902479338843,78.9,14.65487603305785,0.4413469028459565,0.3942647543833683,0.0329519821407108
2021,Rabi,185660,706436,3.8,Safflower,Katni,2021.0,27.52825000000001,18.92558333333333,12.216666666666663,29.4,15.401166666666663,0.3749720988991349,-0.4968158870807981,0.0391338708002838
2022,Rabi,196089,746119,3.81,Safflower,Katni,2022.0,26.05049999999999,17.273916666666672,10.554166666666664,74.63000000000001,15.003833333333334,0.2971657692643214,0.8627365749965652,0.0423002953649969
2018,Rabi,177418,521915,2.94,Safflower,Katni,2018.0,29.12457627118644,19.831186440677968,12.472203389830504,21.92,17.262203389830503,0.4284545772527843,0.2792242112455069,0.0317614512615765
2019,Rabi,216164,692589,3.2,Safflower,Katni,2019.0,27.47091666666667,18.20258333333333,11.203749999999996,36.20000000000001,15.744583333333331,0.4888693594482514,-0.5456563416397808,0.0817530266271995
2020,Rabi,75959,246715,3.25,Safflower,Mandla,2020.0,24.560495867768587,16.938181818181814,10.87735537190082,125.20000000000005,14.98338842975207,0.4559334333346146,0.2389415105451151,0.0213315523954027
2021,Rabi,70707,161495,2.28,Safflower,Mandla,2021.0,27.496666666666638,18.956000000000003,12.276833333333332,42.67,16.01791666666666,0.38412432305789,1.1105103259352735,0.0218248963513387
2022,Rabi,78957,182391,2.31,Safflower,Mandla,2022.0,26.00975,17.789499999999993,11.295333333333334,108.43000000000004,15.377416666666663,0.2741810595028449,0.3281291663362733,0.0251668615629139
2018,Rabi,159314,684705,4.3,Safflower,Mandla,2018.0,29.265932203389838,19.90627118644067,12.572711864406775,30.86,17.70915254237288,0.3845995995029139,1.1244260241566368,-0.0090265507550999
2019,Rabi,238130,1338767,5.62,Safflower,Mandla,2019.0,27.971833333333333,18.761000000000003,11.656666666666668,62.03,15.938833333333337,0.4730112740628962,2.168732943898466,0.053665927317639
2020,Rabi,122427,443675,3.62,Safflower,Mandsaur,2020.0,25.143801652892567,17.358099173553715,11.146363636363636,18.379999999999995,14.77330578512396,0.3617353216325011,1.3675297184643955,0.1138274019914094
2021,Rabi,214793,811489,3.78,Safflower,Mandsaur,2021.0,29.008749999999985,19.84058333333333,12.569000000000006,26.67,15.22958333333334,0.3825571563734379,0.0512053828196401,0.1601215539391332
2022,Rabi,204901,774116,3.78,Safflower,Mandsaur,2022.0,25.949,17.752,11.065750000000005,46.53,14.947583333333338,0.290577366423881,0.2111544829961568,0.1059012425725015
2018,Rabi,120546,487757,4.05,Safflower,Mandsaur,2018.0,29.778474576271183,20.562542372881357,12.869322033898309,0.23,17.123389830508476,0.5103595818678932,-7.01155532925304,0.2206864944627257
2019,Rabi,123768,442842,3.58,Safflower,Mandsaur,2019.0,28.227250000000016,18.686916666666665,10.889749999999996,5.68,15.983416666666663,0.3884041877442985,1.0257331958973874,0.1644831984842583
2020,Rabi,119968,479392,4.0,Safflower,Morena,2020.0,24.401239669421496,16.853388429752073,10.582314049586778,45.51,13.180413223140487,0.4022803465173666,1.6135432341978295,0.081828741118696
2021,Rabi,86097,365654,4.25,Safflower,Morena,2021.0,27.3975,18.69016666666666,11.439333333333328,45.71,14.491916666666665,0.3892179033514934,-0.0173798814336975,0.1058890090809798
