district,rabi_year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
Bhind,2023,25.939500000000002,17.548250000000003,10.389083333333332,13.15,13.998249999999993
Bhind,2024,26.595901639344262,19.542459016393433,13.546065573770493,19.73,10.706885245901642
Bhopal,2018,29.528474576271194,20.441694915254235,12.646440677966103,9.41,17.416271186440678
Bhopal,2019,27.83258333333332,18.474000000000007,10.728750000000003,4.09,16.386666666666667
Bhopal,2020,24.750826446281014,17.16768595041321,10.918181818181818,29.89,15.021900826446283
Bhopal,2021,28.14083333333333,19.35291666666667,12.205083333333333,27.00000000000001,15.711416666666668
Bhopal,2022,25.42291666666666,17.381083333333326,10.634333333333329,55.89,15.413583333333337
Bhopal,2023,26.662083333333342,17.881166666666658,10.944083333333332,22.37,16.656333333333333
Bhopal,2024,26.674262295081967,18.991147540983608,12.822786885245902,24.35,13.240655737704916
Gwalior,2018,28.76966101694916,19.34457627118644,11.505423728813557,1.4400000000000002,14.720677966101693
Gwalior,2019,26.35074999999999,17.290249999999997,10.383833333333335,17.81,13.643999999999997
Gwalior,2020,24.825454545454544,17.0801652892562,10.96512396694215,35.18999999999999,12.038016528925617
Gwalior,2021,27.592416666666654,18.933250000000005,11.825583333333332,57.19,13.323500000000003
Gwalior,2022,25.273750000000003,16.937666666666665,10.384166666666665,48.86,12.675333333333331
Gwalior,2023,26.555083333333332,17.980500000000003,11.08816666666667,9.21,13.998249999999993
Gwalior,2024,26.555737704918034,19.29163934426229,13.516557377049175,32.17,10.706885245901642
Narsinghpur,2018,30.63491525423728,21.291355932203395,13.142542372881362,16.25,17.571355932203385
Narsinghpur,2019,29.509083333333344,19.807166666666667,12.017666666666663,7.580000000000001,16.24358333333333
Narsinghpur,2020,26.526694214876027,18.41570247933885,12.015454545454544,38.69000000000001,15.002809917355375
Narsinghpur,2021,29.606583333333333,20.42991666666666,13.084416666666664,16.259999999999998,16.111583333333336
Narsinghpur,2022,27.301833333333327,18.587666666666664,11.58916666666666,52.49999999999999,15.397583333333342
Narsinghpur,2023,28.32041666666667,19.100250000000003,11.890416666666665,14.569999999999997,17.010333333333346
Narsinghpur,2024,27.975245901639344,19.800655737704922,13.75704918032787,46.2,13.931639344262297
Hoshangabad,2018,30.41118644067797,21.760677966101692,14.482881355932202,10.84,17.77813559322034
